年月,港口別,總計,進港,出港
200701,臺中港,96950,46969,49981
200701,高雄港,848276,416620.5,431655.5
200701,花蓮港,0,0,0
200701,臺北港,0,0,0
200701,蘇澳港,0,0,0
200701,安平港,545,286,259
200702,國際商港,983290.75,508606.5,474684.25
200702,基隆港,144590.5,76926.5,67664
200702,臺中港,77572,39630,37942
200702,高雄港,760620.25,391819,368801.25
200702,花蓮港,0,0,0
200702,臺北港,0,0,0
200702,蘇澳港,0,0,0
200702,安平港,508,231,277
200703,國際商港,1133059.25,553378,579681.25
200703,基隆港,180181.25,88652.5,91528.75
200703,臺中港,108207,50209,57998
200703,高雄港,844462,414436.5,430025.5
200703,花蓮港,0,0,0
200703,臺北港,0,0,0
200703,蘇澳港,0,0,0
200703,安平港,209,80,129
200704,國際商港,1132570,566782.75,565787.25
200704,基隆港,191216.5,98970,92246.5
200704,臺中港,99769,46880,52889
200704,高雄港,840772.5,420482.75,420289.75
200704,花蓮港,0,0,0
200704,臺北港,0,0,0
200704,蘇澳港,0,0,0
200704,安平港,812,450,362
200705,國際商港,1145387.5,572690,572697.5
200705,基隆港,194639.5,99559,95080.5
200705,臺中港,106235,49831,56404
200705,高雄港,843999,423041,420958
200705,花蓮港,0,0,0
200705,臺北港,0,0,0
200705,蘇澳港,0,0,0
200705,安平港,514,259,255
200706,國際商港,1137711.5,581265,556446.5
200706,基隆港,190154.25,97876,92278.25
200706,臺中港,109643,53907,55736
200706,高雄港,837675.25,429383,408292.25
200706,花蓮港,0,0,0
200706,臺北港,0,0,0
200706,蘇澳港,0,0,0
200706,安平港,239,99,140
200707,國際商港,1175279.25,584256.25,591023
200707,基隆港,193360.5,97851.5,95509
200707,臺中港,106724,50487,56237
200707,高雄港,874631.75,435619.75,439012
200707,花蓮港,0,0,0
200707,臺北港,0,0,0
200707,蘇澳港,0,0,0
200707,安平港,563,298,265
200708,國際商港,1175024,594487.5,580536.5
200708,基隆港,191797,98413.25,93383.75
200708,臺中港,105316,48961,56355
200708,高雄港,877393,446800.25,430592.75
200708,花蓮港,0,0,0
200708,臺北港,0,0,0
200708,蘇澳港,0,0,0
200708,安平港,518,313,205
200709,國際商港,1134068,572606.5,561461.5
200709,基隆港,179023.25,93257,85766.25
200709,臺中港,103709,49337,54372
200709,高雄港,850733.75,429668.5,421065.25
200709,花蓮港,0,0,0
200709,臺北港,0,0,0
200709,蘇澳港,0,0,0
200709,安平港,602,344,258
200710,國際商港,1195235.5,592437,602798.5
200710,基隆港,194693.75,99975.75,94718
200710,臺中港,107590,50149,57441
200710,高雄港,892332.75,442041.25,450291.5
200710,花蓮港,0,0,0
200710,臺北港,0,0,0
200710,蘇澳港,0,0,0
200710,安平港,619,271,348
200711,國際商港,1160843.5,588464,572379.5
200711,基隆港,182551.25,93897.25,88654
200711,臺中港,107079,51767,55312
200711,高雄港,870610.25,442399.75,428210.5
200711,花蓮港,0,0,0
200711,臺北港,0,0,0
200711,蘇澳港,0,0,0
200711,安平港,603,400,203
200712,國際商港,1227756.25,619718.5,608037.75
200712,基隆港,192720.25,101096.5,91623.75
200712,臺中港,118956,58734,60222
200712,高雄港,915323,459576,455747
200712,花蓮港,0,0,0
200712,臺北港,0,0,0
200712,蘇澳港,0,0,0
200712,安平港,757,312,445
200801,國際商港,1156568,584645.75,571922.25
200801,基隆港,181878.5,95646.5,86232
200801,臺中港,106942,51827,55115
200801,高雄港,867112.5,436812.25,430300.25
200801,花蓮港,0,0,0
200801,臺北港,0,0,0
200801,蘇澳港,0,0,0
200801,安平港,635,360,275
200802,國際商港,995293.75,506656.75,488637
200802,基隆港,143905.75,71508.5,72397.25
200802,臺中港,94073,47357,46716
200802,高雄港,756699,387459.25,369239.75
200802,花蓮港,0,0,0
200802,臺北港,0,0,0
200802,蘇澳港,0,0,0
200802,安平港,616,332,284
200803,國際商港,1150951.75,570054.5,580897.25
200803,基隆港,192263.75,96879.5,95384.25
200803,臺中港,121377,57815,63562
200803,高雄港,836790,415075,421715
200803,花蓮港,0,0,0
200803,臺北港,0,0,0
200803,蘇澳港,0,0,0
200803,安平港,521,285,236
200804,國際商港,1122804.25,566873,555931.25
200804,基隆港,188100.25,96799,91301.25
200804,臺中港,102294,49675,52619
200804,高雄港,831896,420160,411736
200804,花蓮港,0,0,0
200804,臺北港,0,0,0
200804,蘇澳港,0,0,0
200804,安平港,514,239,275
200805,國際商港,1163133.25,577115.75,586017.5
200805,基隆港,190976,95195.75,95780.25
200805,臺中港,112838,56136,56702
200805,高雄港,858780.25,425530,433250.25
200805,花蓮港,0,0,0
200805,臺北港,0,0,0
200805,蘇澳港,0,0,0
200805,安平港,539,254,285
200806,國際商港,1114963,551454,563509
200806,基隆港,180759.25,89602,91157.25
200806,臺中港,102701,48962,53739
200806,高雄港,830632.75,412453,418179.75
200806,花蓮港,0,0,0
200806,臺北港,0,0,0
200806,蘇澳港,0,0,0
200806,安平港,870,437,433
200807,國際商港,1157592.75,589589.75,568003
200807,基隆港,179415,91705.75,87709.25
200807,臺中港,104823,53279,51544
200807,高雄港,872788.75,444326,428462.75
200807,花蓮港,0,0,0
200807,臺北港,0,0,0
200807,蘇澳港,0,0,0
200807,安平港,566,279,287
200808,國際商港,1161146.75,564697.75,596449
200808,基隆港,181086,89091.75,91994.25
200808,臺中港,108897,53136,55761
200808,高雄港,870658.75,422192,448466.75
200808,花蓮港,0,0,0
200808,臺北港,0,0,0
200808,蘇澳港,0,0,0
200808,安平港,505,278,227
200809,國際商港,1038311.5,507423.75,530887.75
200809,基隆港,163720.5,82294.75,81425.75
200809,臺中港,81907,40373,41534
200809,高雄港,792398,384613,407785
200809,花蓮港,0,0,0
200809,臺北港,0,0,0
200809,蘇澳港,0,0,0
200809,安平港,286,143,143
200810,國際商港,1064837,518271.5,546565.5
200810,基隆港,166147.75,83224.25,82923.5
200810,臺中港,95754,46094,49660
200810,高雄港,802658.25,388818.25,413840
200810,花蓮港,0,0,0
200810,臺北港,0,0,0
200810,蘇澳港,0,0,0
200810,安平港,277,135,142
200811,國際商港,903782,461998.5,441783.5
200811,基隆港,148964.25,75871,73093.25
200811,臺中港,101115,51239,49876
200811,高雄港,653408.75,334735.5,318673.25
200811,花蓮港,0,0,0
200811,臺北港,0,0,0
200811,蘇澳港,0,0,0
200811,安平港,294,153,141
200812,國際商港,948009,489935.5,458073.5
200812,基隆港,138041,74186.75,63854.25
200812,臺中港,106691,56776,49915
200812,高雄港,702731,358671.75,344059.25
200812,花蓮港,0,0,0
200812,臺北港,0,0,0
200812,蘇澳港,0,0,0
200812,安平港,546,301,245
200901,國際商港,809565.25,406694.75,402870.5
200901,基隆港,104787.75,52287,52500.75
200901,臺中港,85190,42639,42551
200901,高雄港,619129.5,311540.75,307588.75
200901,花蓮港,0,0,0
200901,臺北港,0,0,0
200901,蘇澳港,0,0,0
200901,安平港,458,228,230
200902,國際商港,745250.75,373425.5,371825.25
200902,基隆港,111767.25,55335.5,56431.75
200902,臺中港,80849,36875,43974
200902,高雄港,551229.5,280264,270965.5
200902,花蓮港,0,0,0
200902,臺北港,1405,951,454
200902,蘇澳港,0,0,0
200902,安平港,0,0,0
200903,國際商港,977417.25,499517.25,477900
200903,基隆港,133831.25,68469.5,65361.75
200903,臺中港,104116,52053,52063
200903,高雄港,718842.25,367386,351456.25
200903,花蓮港,0,0,0
200903,臺北港,20627.75,11608.75,9019
200903,蘇澳港,0,0,0
200903,安平港,0,0,0
